2019-05-18 00:55:10:335 620 sec: 781 operations; 1.2 current ops/sec; est completion in 55 minutes [READ: Count=12, Max=899071, Min=753664, Avg=809770.67, 90=864255, 99=899071, 99.9=899071, 99.99=899071] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:55:20:336 630 sec: 794 operations; 1.3 current ops/sec; est completion in 55 minutes [READ: Count=13, Max=874495, Min=760320, Avg=811736.62, 90=868863, 99=874495, 99.9=874495, 99.99=874495] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:55:30:335 640 sec: 806 operations; 1.2 current ops/sec; est completion in 55 minutes [READ: Count=12, Max=910335, Min=738816, Avg=802090.67, 90=846335, 99=910335, 99.9=910335, 99.99=910335] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:55:40:335 650 sec: 819 operations; 1.3 current ops/sec; est completion in 55 minutes [READ: Count=13, Max=861183, Min=761344, Avg=801654.15, 90=836607, 99=861183, 99.9=861183, 99.99=861183] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:55:50:336 660 sec: 831 operations; 1.2 current ops/sec; est completion in 55 minutes [READ: Count=12, Max=919551, Min=728576, Avg=801408, 90=867839, 99=919551, 99.9=919551, 99.99=919551] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:00:335 670 sec: 844 operations; 1.3 current ops/sec; est completion in 55 minutes [READ: Count=13, Max=872959, Min=755200, Avg=800512, 90=859135, 99=872959, 99.9=872959, 99.99=872959] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:10:337 680 sec: 856 operations; 1.2 current ops/sec; est completion in 54 minutes [READ: Count=12, Max=873471, Min=759296, Avg=809429.33, 90=865279, 99=873471, 99.9=873471, 99.99=873471] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:20:335 690 sec: 869 operations; 1.3 current ops/sec; est completion in 54 minutes [READ: Count=13, Max=884735, Min=733184, Avg=794761.85, 90=852991, 99=884735, 99.9=884735, 99.99=884735] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:30:336 700 sec: 881 operations; 1.2 current ops/sec; est completion in 54 minutes [READ: Count=12, Max=848895, Min=741376, Avg=783872, 90=833535, 99=848895, 99.9=848895, 99.99=848895] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:40:336 710 sec: 894 operations; 1.3 current ops/sec; est completion in 54 minutes [READ: Count=13, Max=905727, Min=744960, Avg=807483.08, 90=879615, 99=905727, 99.9=905727, 99.99=905727] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:56:50:336 720 sec: 906 operations; 1.2 current ops/sec; est completion in 54 minutes [READ: Count=12, Max=882687, Min=751616, Avg=798933.33, 90=876543, 99=882687, 99.9=882687, 99.99=882687] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
